[tree_debug] input(dx=1.4,dy=1.3,dz=1.5,fp_max=1.4,fp_min=1.3,square=0.9,pts=124) -> tree_label=boat
[tree_debug] input(dx=1.4,dy=1.0,dz=1.4,fp_max=1.4,fp_min=1.0,square=0.7,pts=84) -> tree_label=boat
[tree_debug2] input(dx=1.6,dy=1.5,dz=5.9,fp_max=1.6,fp_min=1.5,square=0.9,pts=919) -> tree_label2=pillar
[tree_debug2] input(dx=1.9,dy=1.6,dz=6.3,fp_max=1.9,fp_min=1.6,square=0.9,pts=2666) -> tree_label2=pillar
[tree_debug] input(dx=1.5,dy=1.2,dz=1.5,fp_max=1.5,fp_min=1.2,square=0.8,pts=165) -> tree_label=boat
[tree_debug2] input(dx=1.5,dy=1.9,dz=5.7,fp_max=1.9,fp_min=1.5,square=0.8,pts=319) -> tree_label2=pillar
[tree_debug] input(dx=1.6,dy=1.2,dz=1.4,fp_max=1.6,fp_min=1.2,square=0.7,pts=156) -> tree_label=boat
[tree_debug2] input(dx=1.6,dy=1.5,dz=6.0,fp_max=1.6,fp_min=1.5,square=1.0,pts=920) -> tree_label2=pillar
[tree_debug] input(dx=1.5,dy=1.5,dz=1.5,fp_max=1.5,fp_min=1.5,square=1.0,pts=121) -> tree_label=boat
[tree_debug2] input(dx=1.5,dy=1.9,dz=5.7,fp_max=1.9,fp_min=1.5,square=0.8,pts=319) -> tree_label2=pillar
